water_source_type,region,district,source_name,nearest_settlement_name,latitude,longitude,permanent,functioning,bh_static_water_level,dw_static_water_level,dam_depth,berkad_depth,other_depth
Borehole,Awdal,borama,Shaaba 28,Dhamuug,9.9315038,43.0772687,yes,No,115.0,,,,
Borehole,Awdal,borama,Shaaba 18,Shaylamaha,9.9094093,43.2016421,yes,Abandoned,,,,,
Borehole,Awdal,borama,Daahir rayaale,Camuud,9.9480926,43.2296065,no,Abandoned,,,,,
Borehole,Awdal,borama,Dhamuug Bh 2,Dhamuug,9.9510198,43.2173387,no,Abandoned,,,,,
Borehole,Awdal,borama,Maxamed caduur,Camuud,9.9526945,43.2273518,yes,Yes,70.0,,,,
Borehole,Awdal,borama,Osman farah BH,Borame,9.9049656,43.164146,yes,Yes,80.0,,,,
Spring,Awdal,zeylac,Dhanaan spr,Idaar,10.4774621,43.1539438,yes,Yes,,,,,
Borehole,Awdal,borama,Magaalo cad BH 2,Magaalo cad,9.638546,43.3078204,yes,Yes,51.0,,,,
Borehole,Awdal,borama,Magaalo cad BH 1,Magaalo cad,9.642868,43.3009733,yes,Yes,70.0,,,,
Borehole,Awdal,borama,Afraaga Bh,Afraaga,9.9432199,43.0760245,yes,Yes,115.0,,,,
Borehole,Awdal,lughaye,Garaaca jaleelaale Borehole,Garaaca,10.60117,43.82159,yes,Yes,40.0,,,,
Borehole,Awdal,lughaye,Geerisa 1,Geerisa,10.6090908,43.434292,yes,Yes,20.0,,,,
Borehole,Awdal,lughaye,Kalawle 1,Kalawle,10.5521441,43.8517476,yes,Yes,70.0,,,,
Borehole,Awdal,baki,Fadhixun,Fadhixun,9.5490207,44.051944,yes,Yes,240.0,,,,
Borehole,Awdal,borama,Dilla BH 2,Dilla,9.7666846,43.3381462,yes,Yes,50.0,,,,
Borehole,Awdal,lughaye,Magaadoole BH,Magaadoole,10.5587245,43.6406704,yes,Yes,5.0,,,,
Borehole,Awdal,lughaye,Kalawle 2,Kalawle,10.5531745,43.8517886,yes,Yes,70.0,,,,
Borehole,Awdal,zeylac,Saleebaan borehole,Sheed-dheer,10.2912471,43.5557385,yes,Yes,35.0,,,,
Borehole,Awdal,zeylac,Caasho-caddo Boon,Boon,10.2375338,43.0789754,yes,Yes,60.0,,,,
Borehole,Awdal,zeylac,Gargooraya BH,Garbooray,10.3235368,43.0965222,yes,Yes,50.0,,,,
Borehole,Awdal,lughaye,Karuure 2,Karuure ,10.7517602,43.5917938,yes,Yes,85.0,,,,
Borehole,Awdal,zeylac,Jidhi BH,Jidhi,10.6250122,43.0718833,yes,Yes,45.0,,,,
Borehole,Awdal,zeylac,Ceel Gaal,Ceel Gaal,10.9756511,43.438311,yes,Yes,75.0,,,,
Borehole,Awdal,zeylac,Laanta maroohda,Laagta morohda,10.8467147,43.262019,yes,Yes,161.0,,,,
Borehole,Awdal,zeylac,Waraabood,Waraabood,11.2656071,43.3014947,yes,Yes,23.0,,,,
Borehole,Awdal,borama,Dilla Bh 1,Dilla,9.7684344,43.3359256,yes,Yes,50.0,,,,
Borehole,Awdal,borama,Qolujeed,Qolujeed,10.0878619,43.0289032,yes,Yes,100.0,,,,
Borehole,Awdal,borama,Dilla BH 3,Dilla,9.7645432,43.3415877,yes,Yes,85.0,,,,
Borehole,Awdal,borama,Shaaba  21,Camuud,9.9494053,43.234146,yes,Yes,70.0,,,,
Borehole,Awdal,zeylac,C.qadir BH,C.qadir,10,42,yes,Yes,80.0,,,,
Borehole,Awdal,zeylac,Zeylac borehole,Zaylac borehole,11.32589,43.37519,yes,Yes,13.0,,,,
Borehole,Awdal,borama,Shaaba 23,Camuud,9.9499017,43.2256813,yes,Yes,80.0,,,,
Borehole,Awdal,borama,Shaaba 20,Camuud,9.9431975,43.2378794,yes,Yes,100.0,,,,
Borehole,Awdal,borama,Shaaba 24,Dhamuug,9.9468173,43.2197863,yes,Yes,80.0,,,,
Borehole,Awdal,borama,Shaaba 26,Camuud,9.9443089,43.2416069,yes,Yes,89.0,,,,
Borehole,Awdal,borama,Shaaba 19,Camuud,9.9500312,43.2226562,yes,Yes,80.0,,,,
Borehole,Awdal,borama,Shaaba 8,Dhamuuug,9.9511438,43.2197633,yes,Yes,70.0,,,,
Borehole,Awdal,borama,Amoud borehole 2,Amuud,9.9459889,43.2262142,yes,Yes,70.0,,,,
Spring,Awdal,zeylac,Aftoox,Boon,10.20125,43.04695,yes,Yes,,,,,
Borehole,Awdal,baki,Shaaba 17,Shaylaha,9.9089552,43.2026015,yes,Yes,88.0,,,,
Borehole,Awdal,zeylac,Xariirad Bh,Xariirad,10.3159912,42.829348,yes,Yes,45.0,,,,
Borehole,Awdal,borama,Agoomaha BH,Qaryada,9.9388228,43.2015577,yes,Yes,,,,,
Borehole,Awdal,borama,Dagmo laqas,Afraaga,9.9464663,43.0746999,yes,Yes,115.0,,,,
Borehole,Awdal,borama,Cumar Ileeye BH,Holhol,9.9192199,43.1333663,yes,Yes,70.0,,,,
Borehole,Awdal,borama,Sharmaarke BH,Qolujeed,10.0942695,43.0153959,yes,Yes,40.0,,,,
Borehole,Awdal,borama,Maxille Bh,Camuid,9.9536825,43.2328191,yes,Yes,,,,,
Borehole,Awdal,borama,Kuweit Bh 2,Camuud,9.9548177,43.2250452,yes,Yes,75.0,,,,
Borehole,Awdal,borama,Xoosh BH,Qolujeed,10.0839606,43.0487816,yes,Yes,36.0,,,,
Borehole,Awdal,borama,Osman faarah Bh 2,Borame,9.9049536,43.1612186,yes,Yes,80.0,,,,
Borehole,Awdal,borama,Kuwayti Bh 1,Camuud,9.9524581,43.2254162,yes,Yes,90.0,,,,
Borehole,Awdal,borama,Guure,Camuud,9.9406901,43.224795,yes,Yes,62.0,,,,
Spring,Awdal,baki,Himbil spring,Xoorey,10.178115,43.3606967,yes,Yes,,,,,
Spring,Awdal,zeylac,Heemaal spring,Heemaal,10.5585678,43.1401388,yes,Yes,,,,,
Borehole,Awdal,borama,Shaaba 12,Cado galiilo,9.9424536,43.2485258,yes,Yes,98.0,,,,
Borehole,Awdal,borama,Jamaac yuusuf BH,Holhol,9.9209746,43.1327314,yes,Yes,70.0,,,,
Borehole,Awdal,borama,Amoud 1,Camuud,9.9437285,43.2199764,yes,Yes,60.0,,,,
Spring,Awdal,lughaye,Qabribaxar spr,Gargaara,10.3478128,43.8176534,yes,Yes,,,,,
Spring,Awdal,zeylac,Gala spr,Ali Gala,10.4591856,43.2662997,yes,Yes,,,,,
Spring,Awdal,baki,Xamarta durdruka  cad spring,Xamarta hogeed,10.1283483,43.3682417,yes,Yes,,,,,
Borehole,Awdal,borama,Shaaba 13,Amuud,9.9286232,43.2456964,yes,Yes,80.0,,,,
Borehole,Awdal,zeylac,Cabaas BH,Habaas,10.42591,42.82134,yes,Yes,65.0,,,,
Dug well,Awdal,zeylac,Ceel la helay Dug well,Ceel lahelay,10.2950628,42.9605944,no,Yes,3.0,,,,
Borehole,Awdal,borama,Xayaat hospital Bh,Qaryada,9.9374168,43.2091313,yes,Yes,,,,,
Borehole,Awdal,borama,Shaaba 16,Camuud,9.9363589,43.2537072,yes,Yes,110.0,,,,
Borehole,Awdal,borama,Shifo 1,Darey macaane,9.9699176,43.2192725,yes,Yes,35.0,,,,
Borehole,Awdal,borama,Shifo BH,Darey macaan,9.971141,43.219051,yes,Yes,35.0,,,,
Dam,Awdal,borama,Qolujeed Dam,Qolujeed,10.0954408,43.0145207,no,Yes,,,1.0,,
Dam,Awdal,borama,Aasho caddo dam,Aasho caddo,9.9271756,43.1106508,no,Yes,,,2.0,,
Borehole,Awdal,borama,Oslo,Borame,9.9392073,43.1825111,yes,Yes,,,,,
Borehole,Awdal,borama,Aasho-caddo Borame,Aasho cadd_borame,9.914235,43.1073136,yes,No,,,,,
Borehole,Awdal,borama,Agoomaha BH 2,Qaryada,9.9388104,43.2015592,no,Abandoned,,,,,
