water_source_type,region,district,source_name,nearest_settlement_name,latitude,longitude,permanent,functioning,bh_static_water_level,dw_static_water_level,dam_depth,berkad_depth,other_depth
Borehole,Awdal,Borama,Dhamuug BH 21,Amoud,9.9494,43.2341,Yes,Yes,57.0,,,,
Borehole,Awdal,Borama,Weeraar,Weeraar,10.2513,43.2347,Yes,Yes,60.0,,,,
Borehole,Awdal,Borama,Dhamuug BH 20,Amoud,9.9432,43.2379,Yes,Yes,70.0,,,,
Borehole,Awdal,Borama,Dhamuug BH13,Boorama,9.9286,43.2457,Yes,Yes,78.0,,,,
Borehole,Awdal,Zeylac,Ceelgaal2,Ceelgal,10.9757,43.4383,Yes,Yes,30.0,,,,
Borehole,Awdal,Zeylac,Ceel-Gaac,,10.84678,43.26206,,Yes,,,,,
Borehole,Awdal,Zeylac,laagta morohda,,10.98989,43.44266,,Yes,,,,,
Borehole,Awdal,Zeylac,takhushi,,11.26572,43.30127,,Yes,47.2,,,,
Dug Well,Awdal,Baki,Xoorey 2,Xoorey Town,10.1778,43.3669,,,,1.5,,,
Dug Well,Awdal,Borama,Xarirad Dug Well2,Xariirad,10.3237,42.8397,,,,8.0,,,
Dug Well,Awdal,Baki,Abokor Cadaawe 1,Baki,10.0315,43.3583,Yes,Yes,,,,,
Dug Well,Awdal,Borama,Xaliimaale 6,Xaliimaale Town,10.2399,43.1731,Yes,Yes,,4.0,,,
Dug Well,Awdal,Baki,bak;w_023,,10.0264,43.37119,,Yes,,5.4,,,
Dug Well,Awdal,Borama,Awdal,Dabo Dilaac,10.3691,43.1886,Yes,Yes,,,,,
Dug Well,Awdal,Zeylac,Cabdiqadir2,Abdiqadir,10.5112,42.8866,no,Abandoned,,,,,
Dug Well,Awdal,Borama,Laasdhiig 1,,9.976,43.2151,Yes,Yes,,,,,
Dug Well,Awdal,Borama,Carro Cad 2,Carro Cad,10.08,43.0773,Yes,Yes,,3.0,,,
Dug Well,Awdal,Borama,Laasdhiig 3,Boorame,9.9765,43.214,Yes,Yes,,2.0,,,
Dug Well,Awdal,Borama,AF Doox 2,Boon,10.2012,43.0467,Yes,Yes,,2.5,,,
Dug Well,Awdal,Borama,Xariirad,Habaas,10.3269,42.8413,Yes,Yes,,3.5,,,
Dug Well,Awdal,Borama,Laasdhiig 2,Boorame,9.9765,43.2142,Yes,Yes,,4.5,,,
Dug Well,Awdal,Baki,Xoorey 1,Xoorey,10.1787,43.3688,Yes,Yes,,7.0,,,
Dug Well,Awdal,Borama,Cad Cad 4,Jaaraa Horoto,9.8634,43.3265,Yes,Yes,,3.0,,,
Dug Well,Awdal,Baki,BAGW18,,10.0194,43.3669,Yes,Yes,,4.5,,,
Dug Well,Awdal,Baki,Dharaar waxar,Dharaar waxar,9.8072,43.3682,yes,Yes,,2.0,,,
Dug Well,Awdal,Borama,Laasdhiig  6,Boorame,9.9769,43.2132,Yes,Yes,,3.0,,,
Dug Well,Awdal,Baki,BGMW26,,10.0181,43.3672,Yes,Yes,,10.7,,,
Dug Well,Awdal,Baki,BAGW21,,10.0183,43.3675,Yes,Yes,,3.0,,,
Dug Well,Awdal,Baki,bgmwxx,,10.0172,43.3686,Yes,Yes,,12.5,,,
Dug Well,Awdal,Baki,BLFW67,,10.0167,43.3692,Yes,Yes,,3.8,,,
Dug Well,Awdal,Baki,RHSW42,,9.9522,43.4339,Yes,Yes,,12.0,,,
Dug Well,Awdal,Baki,Dug Well 2 Baki,Baki,10.0281,43.3707,yes,Yes,,2.0,,,
Dug Well,Awdal,Baki,Hul xudhuunle shellow,Hul xudhuun,10.3026,43.7546,no,Abandoned,,4.0,,,
Dug Well,Awdal,Baki,Dug Well 1Baki,Baki,10.0268,43.3709,yes,No,,7.0,,,
Dug Well,Awdal,Baki,Baki 1,Baki Town,10.0269,43.3709,Yes,Yes,,,,,
Dug Well,Awdal,Baki,Baki 3,,10.0264,43.3712,,Yes,,5.4,,,
Dug Well,Awdal,Baki,Dhijaamaley,Baki Town,10.0068,43.3829,Yes,Yes,,2.0,,,
Dug Well,Awdal,Baki,BDHW42,,10,43.3836,Yes,Yes,,10.5,,,
Dug Well,Awdal,Baki,BDHW41,,10.0006,43.3836,Yes,Yes,,4.25,,,
Dug Well,Awdal,Borama,Carro Cad 1,Carro Cad,10.0801,43.0778,,,,3.0,,,
Dug Well,Awdal,Baki,BLFW63,,10.0022,43.3836,Yes,Yes,,6.5,,,
Dug Well,Awdal,Baki,BLFW60,,10.0014,43.3842,Yes,Yes,,9.4,,,
Dug Well,Awdal,Borama,Buur Galimeys,Qabri Caruureed,10.0232,43.0743,Yes,Yes,,8.0,,,
Dug Well,Awdal,Baki,RADW4,,9.9844,43.4025,Yes,Yes,,6.7,,,
Dug Well,Awdal,Baki,Dhuxunka,,9.878,43.4058,,Yes,,10.0,,,
Dug Well,Awdal,Baki,Carro Weyne 2,Carro Weyne,10.2806,43.4121,Yes,Yes,,2.5,,,
Dug Well,Awdal,Baki,Xuur Dhagaxley,Sheed Dheer,10.2485,43.6481,Yes,Yes,,6.5,,,
Dug Well,Awdal,Baki,Tuurka/W-039,,10.28652,43.72975,,Yes,,2.0,,,
Dug Well,Awdal,Borama,Laasdhiig 4,Boorame,9.9769,43.2137,Yes,Yes,,3.5,,,
Dug Well,Awdal,Baki,Osali shellow well,Osali,10.4297,43.704,yes,Abandoned,,,,,
Dug Well,Awdal,Baki,Tuurka Dug Well,Tuurka,10.2837,43.7287,yes,Yes,,5.0,,,
Dug Well,Awdal,Baki,Tuurka/W-039,,10.2865,43.7298,,Yes,,2.0,,,
Dug Well,Awdal,Baki,Belay shellow,Belay,10.3077,43.7372,yes,Yes,,3.0,,,
Dug Well,Awdal,Borama,Dari Macaan 1,Boorame,9.9746,43.2159,Yes,Yes,,4.5,,,
Dug Well,Awdal,Baki,Gargara Bari shellow,Gargaara bari,10.3091,43.8061,yes,Yes,,1.0,,,
Dug Well,Awdal,Baki,Gargaara 2,Hulka,10.309,43.8063,Yes,No,,6.5,,,
Dug Well,Awdal,Baki,Gargaara 4,,10.3091,43.8064,,Yes,,6.0,,,
Dug Well,Awdal,Baki,Gargaara 1,Hulka,10.3131,43.807,Yes,Yes,,4.0,,,
Dug Well,Awdal,Baki,Hulka 1,Gargaara,10.3513,43.9283,Yes,Yes,,7.5,,,
Dug Well,Awdal,Baki,Cabdi Geedi,Hadayta,10.5114,44.0518,Yes,Yes,,12.0,,,
Dug Well,Awdal,Baki,Cabdi Geedi/W-041,,10.5073,44.0598,,Yes,,12.0,,,
Dug Well,Awdal,Baki,Biyafoge/W-042,,10.50855,44.18471,,,,1.5,,,
Dug Well,Awdal,Baki,Cabdi Geedi/W-041,,10.50725,44.05977,,Yes,,12.6,,,
Dug Well,Awdal,Baki,Gargaara/W-040,,10.30907,43.80637,,Yes,,6.0,,,
Dug Well,Awdal,Baki,Ruqi,,9.94649,43.34689,,Yes,,4.0,,,
Dug Well,Awdal,Baki,Sheed-Dheer/W-035,,10.32154,43.48756,,,,8.0,,,
Dug Well,Awdal,Baki,Sheed-Dheer/W-036,,10.32154,43.48756,,Yes,,5.0,,,
Dug Well,Awdal,Baki,Sheed-Dheer/W-037,,10.2232,43.62716,,Yes,,,,,
Dug Well,Awdal,Borama,Ceelbaxay,,10.3268,42.8413,,Yes,,2.0,,,
Dug Well,Awdal,Borama,XariradDug Well,Xarirad,10.3268,42.8413,yes,Yes,,4.0,,,
Dug Well,Awdal,Borama,Daratodheere,Darayadhere,10.2621,42.905,no,Yes,,3.0,,,
Dug Well,Awdal,Borama,Ceel Baxay,Ceel Baxay,10.3029,42.9242,Yes,Yes,,,,,
Dug Well,Awdal,Borama,Ceel Baxay,Xariirad,10.2953,42.961,,Yes,,,,,
Dug Well,Awdal,Borama,Ceelbaxay1,Celbaxay,10.2955,42.9611,no,Yes,,3.0,,,
Dug Well,Awdal,Borama,Ceelbaxay3,Celbaxay,10.2875,42.9642,no,Yes,,7.0,,,
Dug Well,Awdal,Borama,Ceelbaxay2,Ceelbaxay,10.2988,42.9668,no,Abandoned,,,,,
Dug Well,Awdal,Borama,Xalimale,Boon,10.2012,43.0469,,Yes,,2.0,,,
Dug Well,Awdal,Borama,Laasdhiig 5,Boorame,9.9769,43.2135,Yes,Yes,,3.0,,,
Dug Well,Awdal,Borama,Dari Macaane 3,Boorame,9.9717,43.2149,Yes,Yes,,7.0,,,
Dug Well,Awdal,Borama,Boon,Boon,10.2013,43.0469,yes,Yes,,3.0,,,
Dug Well,Awdal,Borama,Shiikhaware2,Shiikhaware,10.4585,43.1251,no,Abandoned,,,,,
Dug Well,Awdal,Lughaye,Farda Lagu-Xigh,Xoog Faras,10.4097,43.4508,,,,12.0,,,
Dug Well,Awdal,Borama,Abase Dreere 1,Boon,10.1615,43.1542,Yes,Yes,,7.0,,,
Dug Well,Awdal,Borama,Abase Dheere 2,Boon,10.1594,43.1589,Yes,Yes,,5.5,,,
Dug Well,Awdal,Borama,Xaliimaale 4,Xaliimaale Town,10.2436,43.1607,Yes,Yes,,2.0,,,
Dug Well,Awdal,Borama,Xaliimaale 3,Xaliimaale Town,10.2422,43.1614,Yes,Yes,,,,,
Dug Well,Awdal,Borama,Xaliimaale 2,Xaliimaale town,10.2422,43.1615,No,Yes,,3.5,,,
Dug Well,Awdal,Borama,Xaliimaale 1,Xaliimaale  Town,10.2409,43.1644,Yes,Yes,,1.0,,,
Dug Well,Awdal,Borama,Xaliimale,Xaliimale,10.2376,43.1765,yes,Yes,,2.0,,,
Dug Well,Awdal,Borama,Xaliimaale 5,Xaliimaale,10.237,43.1768,Yes,Yes,,4.1,,,
Dug Well,Awdal,Borama,ADAW3,,10.0356,43.1842,Yes,Yes,,4.0,,,
Dug Well,Awdal,Borama,Fiqi adan1,Fiqiadan,10.3425,43.1883,no,Abandoned,,2.0,,,
Dug Well,Awdal,Borama,Fiqiadan2,Fiqiadan,10.3692,43.1889,no,Yes,,3.0,,,
Dug Well,Awdal,Borama,Qoorgaab 1,Boorame Town,9.9268,43.1946,Yes,Yes,,6.5,,,
Dug Well,Awdal,Borama,Qoorgaab 2,Boorame Town,9.9289,43.1959,Yes,Yes,,5.5,,,
Dug Well,Awdal,Borama,ALADWI,,10.1183,43.2014,Yes,Yes,,3.2,,,
